Month,Day,Year,Hour,Minute,am/pm,FirstName,LastName
4,27,2016,11,36,am,Bryan,Butler
4,27,2016,10,36,am,Jim,Mac
4,27,2016,10,42,am,Natalie,T
4,23,2016,1,4,am,Jeff ,Lan
4,24,2016,1,5,am,Bryan,Butler
4,25,2016,1,6,am,Jim,Mac
4,26,2016,1,7,am,Natalie,T
4,27,2016,1,8,am,Jeff ,Lan
4,28,2016,1,9,am,Bryan,Butler
4,29,2016,1,10,am,Jim,Mac
4,30,2016,1,11,am,Natalie,T
4,31,2016,1,12,am,Jeff ,Lan
4,26,2016,1,13,am,Bryan,Butler
4,26,2016,1,14,am,Jim,Mac
4,26,2016,1,15,am,Natalie,T
4,26,2016,1,16,am,Jeff ,Lan
4,26,2016,1,17,am,Bryan,Butler
4,26,2016,1,18,am,Jim,Mac
4,26,2016,1,19,am,Natalie,T
4,26,2016,1,20,am,Jeff ,Lan
4,26,2016,1,21,am,Bryan,Butler
4,26,2016,1,22,am,Jim,Mac
4,26,2016,1,23,am,Natalie,T
4,26,2016,1,24,am,Jeff ,Lan
4,26,2016,1,25,am,Bryan,Butler
4,26,2016,1,26,am,Jim,Mac
4,26,2016,1,27,am,Natalie,T
4,26,2016,1,28,am,Jeff ,Lan
4,26,2016,1,29,am,Bryan,Butler
4,26,2016,1,30,am,Jim,Mac
4,26,2016,1,31,am,Natalie,T
4,26,2016,1,32,am,Jeff ,Lan
4,26,2016,11,33,am,Bryan,Butler
4,26,2016,11,34,am,Jim,Mac
4,26,2016,11,35,am,Natalie,T
4,26,2016,11,36,am,Jeff ,Lan
4,26,2016,11,37,am,Bryan,Butler
4,26,2016,11,38,am,Jim,Mac
4,26,2016,11,39,am,Natalie,T
4,26,2016,11,40,am,Jeff ,Lan
4,26,2016,11,41,am,Bryan,Butler
